GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
automated-test-with-java,br.com.franco.busines,BusinesCourse,0,61,0,8,0,16,0,7,0,3
automated-test-with-java,br.com.franco,Main,7,0,0,0,3,0,2,0,2,0
automated-test-with-java,br.com.franco.math,SimpleMath,0,55,0,2,0,9,0,8,0,7
automated-test-with-java,br.com.franco.service,PersonService,0,26,1,3,0,6,1,3,0,2
automated-test-with-java,br.com.franco.service,OrderService,0,26,0,2,0,7,0,3,0,2
automated-test-with-java,br.com.franco.model,MyUtils,11,0,2,0,4,0,3,0,2,0
automated-test-with-java,br.com.franco.model,Person,220,44,54,0,57,17,34,9,7,9
automated-test-with-java,br.com.franco.model,Order,6,25,0,0,2,11,2,7,2,7
